actor_name,actor_score
,6608055
Brooke Bundy,49369900
David Walton,65182182
James Kyson,25926543
Ulrich Tukur,2222647
Blair Underwood,22763152
Rudolf Klein-Rogge,26435
Eric Johnson,2686146
Roger Jackson,96069681
Craig Parker,45802315
Matthew Perry,37221664
Angélica Sancio,3766595
Bill Murray,60892596
Kelly Preston,57286700
Topol,56150000
Caroline Goodall,96067179
Rosalind Ayres,410388
Shane Carruth,424760
Morgan Freeman,90968107
Jean Smart,60008303
Alycia Debnam-Carey,47553512
Jon Polito,2468
Phil Hartman,30400000
David Hyde Pierce,40168134
Ryan Bollman,3273588
Thure Lindhardt,73315
Jon Hamm,80232195
Henry Rollins,138396624
Abraham Benrubi,163875484
Isaach De Bankolé,5990075
Josh Hamilton,61248039
Michael Stuhlbarg,55237930
P.J. Soles,47000000
Liam Aiken,50460875
Campbell Scott,3321328
Stephen Merchant,45045037
Tobias Menzies,167007184
Christina Milian,29187726
KaDee Strickland,42071069
Sonia Braga,24044532
Erin Gray,15935068
Louis Ferreira,46975183
Kristen Stewart,105203435
Leslie Jordan,15935068
Robert Davi,28546463
Matt Gerald,14023928
Colm Feore,68574399
Michael Roark,72279690
Juan Carlos Montoya,3830
Kirsten Day,39026186
Jason Cerbone,10696
Nataniel Sánchez,3830
Jean-Pierre Léaud,611709
Katie Lowes,32154410
Nambitha Mpumlwana,2912363
Christopher Abbott,2981638
Paulo Costanzo,40239407
Matthew Lawrence,219200000
Beverly D'Angelo,43399846
Tyra Banks,60786269
James Doohan,617172
Facundo Lombard,42385520
Jonathan Breck,36306674
Paul Mazursky,2104000
Joe Cornish,23618786
Hitoshi Matsumoto,22770
Keegan Connor Tracy,51160758
Trish Basinger,1711
Anne Heche,47618661
Leighton Meester,32946901
William Holden,27200000
Theresa Merritt,13000000
Ethan Stiefel,17174870
Drake Bell,19280936
Wale Ojo,5359774
Chloe Hollings,4074023
Lindsay Sloane,61384133
Stéphane Rousseau,3432342
Chris Thomas,2428241
Drake,161317423
Kelly Brook,25003072
Marcela Mar,4584886
Heath Ledger,98277918
Serena Grandi,2835886
Meat Loaf,11113525
Emma Caulfield,32131483
Adam Copeland,12801190
Vincent Guastaferro,19472057
Nicole Beharie,6795089
Scott Cohen,7022940
Lucy Boynton,2975649
Lorelei Linklater,25359200
Steve Bisley,144812796
Joe Simpson,4581222
James Huang,32279955
Gerry Bednob,70348121
Alexandra Callas,14616
Brian Van Holt,16134577
Taylor Negron,11847014
James DeBello,40557
Raza Jaffrey,17114882
Katrina Bowden,4310278
Bill Duke,40757651
Diana Maria Riva,44469602
Michael Landes,46455802
LL Cool J,52015463
Yeong-ae Lee,211667
Matthew Glave,16991902
Dana Ivey,86454296
Jane Adams,3203586
Lois Chiles,55384198
Theresa Randle,65807024
Stacy Keach,42627799
John Abraham,3249150
Tim Holmes,234903076
Libby Villari,25359200
Paul Guilfoyle,27658368
Kevin Rankin,85000477
Prabhudheva,95236
Joe Morton,49158740
Josh Hutcherson,100525609
Alex Pettyfer,56222553
Michael Horse,8000000
Scott Handy,4068087
Steven Bauer,21370057
Carmine Giovinazzo,35168395
Oanh Nguyen,18947630
Émilie Dequenne,2874
Tatsuo Matsumura,48856
Tom Cruise,122094674
Kim Thomson,71975611
Mona Marshall,9628751
Angel David,1950218
Guillaume Denaiffe,4074023
Joseph Campanella,243768
Paul Blackthorne,6387
Stephen Carr,3000000
Shaun Sipos,34334256
Junix Inocian,5204007
Johnny Cannizzaro,47034272
Tony Nappo,45495201
Ken Sansom,45542421
David Paymer,21426577
Brendan Sexton III,6921186
Mary Norwood,1711
Nia Vardalos,63794214
Robert Townsend,5228617
Alex Macqueen,304137
George Cole,5600000
Patrick Bergin,49873183
Sela Ward,101228321
Chris Barrie,131144183
Holly Valance,72740651
Björk,4157491
Kevork Malikyan,63260
Marisol Nichols,70163652
Vincent Walsh,6462576
Tracy Middendorf,18090181
Ludivine Sagnier,4032274
Abbie Cornish,31984388
Scoot McNairy,51065877
Hayley Atwell,138595608
Nicky Naudé,121468960
Danielle Darrieux,4443403
Huey Lewis,20855301
Bruce Goodchild,16377274
Gustav Fröhlich,26435
Bernie Mac,62626400
Caity Lotz,8888355
Helen Martin,12254926
Shô Kosugi,38105077
Ray Winstone,64561989
Danny Aiello,13827722
Alex Winter,38037513
Shawn Doyle,10268846
Darryl Cox,1040879
