director_name,director_score
,447093
Tomm Moore,686383
Doug Lefler,5932060
Bonnie Hunt,32662299
Jamie Blanks,38048637
Zak Penn,36830
Jean-Marc Vallée,25388618
Edward Burns,6566801
Ari Folman,2283276
Anthony Minghella,85192059
Deepa Mehta,1875914
Tim Burton,132167090
Luc Jacquet,77413017
Barry Sonnenfeld,122625901
Peter Weir,95222465
Rob Hedden,14343976
Pawel Pawlikowski,2409346
Robert Stevenson,102300000
Mike Mills,3550693
Chris Nahon,36833473
Xavier Beauvois,3950029
Steven Spielberg,168586600
Eric Schaeffer,295468
Spencer Susser,382946
John Milius,26077586
Ronny Yu,31546275
Scott Stewart,34652353
William H. Macy,37440
Pete Travis,33023224
Stig Bergqvist,76501438
Tyler Perry,59568116
Jason Moore,64998368
Andrew Jarecki,578382
Jon Turteltaub,82476454
Katt Shea,17757087
Jeb Stuart,3282467
Ellory Elkayem,17266505
Barry Cook,36073232
Carroll Ballard,860002
Stephen Sommers,125426288
Mickey Liddell,13350177
Julian Jarrold,18663911
Rich Cowan,609042
Nicholas Stoller,73729103
Carlos Saldanha,166764467
Wes Anderson,31439603
Sergio Leone,5700000
Fred Wolf,27400373
Oliver Parker,8253798
Kevin Tenney,7369373
Rodrigo Cortés,1028658
Jonas Elmer,16699684
John D. Hancock,1711
Paul Fierlinger,246574
Niels Arden Oplev,10880926
Gurinder Chadha,19571399
Andrew Dominik,3904982
Ivan Reitman,66318990
Francis Ford Coppola,62095597
Zack Snyder,163800650
John Fortenberry,30324946
Christopher Nolan,226653447
Stewart Raffill,531806
Billy Ray,2207975
U. Roberto Romano,2245
Marc Webb,165758656
Bo Welch,100446895
Colin Trevorrow,328092531
Laurent Tirard,634277
Jeffrey W. Byrd,4006906
Ethan Maniquis,26589953
Mark Pellington,29795598
Philip G. Atwell,22466994
Lee Daniels,70568409
Gregory Poirier,13558739
William Wyler,23650000
Julian Schnabel,4476033
Phil Morrison,4556
Michael Lembeck,73640067
John Stephenson,2209479
Noam Murro,106369117
Curtis Hanson,50657908
James Isaac,12610731
Steven Soderbergh,61679866
Jonathan Caouette,592014
Nelson McCormick,29062561
Fritz Lang,26435
Paul Bunnell,2436
James Melkonian,7557877
Vivek Agnihotri,49000
Jon Poll,3950294
Bruce McCulloch,19525348
Kurt Wimmer,9845492
Jim Field Smith,31584722
Jorge Blanco,42194060
Ben Lewin,5997134
Dan Harris,228524
Andrew Davis,77950090
Craig Brewer,15799061
David Twohy,37452037
Martin Weisz,20801344
Gareth Evans,4105123
Wolfgang Petersen,104729952
Jonathan Glazer,4850401
Katherine Dieckmann,92900
Don Bluth,43047551
Joe Charbanic,28927720
Sydney Pollack,105243736
Rob McKittrick,16101109
James Mangold,69298843
Terence Davies,3041803
Dave Borthwick,7382993
Patrick Tatopoulos,45802315
Camille Delamarre,18156692
Catherine Owens,10353690
Ti West,89080
Martin Koolhoven,542860
Martin Campbell,86028197
Guy Ritchie,63926817
Jerry Zucker,103946321
Kevin Rodney Sullivan,56863546
Glen Morgan,11543718
Nicolas Winding Refn,12388100
Gillian Armstrong,25755994
Harold Ramis,51530296
Steve Rash,6596407
John Ottman,21468807
Tony Scott,80175163
Atom Egoyan,2626617
Patricia Cardoso,5844929
Chris Noonan,34787824
Michael Tollin,52277485
Tim Heidecker,200803
Tamra Davis,37188667
Richard LaGravenese,24549686
Andy Tennant,110518659
J.J. Abrams,186704452
Phillip Noyce,57776561
