id,gross2016
1,3192094
2,28847149
3,12794243
4,67034730
5,227194735
6,308265
7,85237203
8,104020246
9,78174216
10,14407716
12,90172207
14,144953
15,0
16,15309149
17,18355037
18,11447919
19,72383226
20,513947
21,0
22,4260835
23,55540163
24,16864668
25,42113023
26,60258323
28,24680258
29,108676987
30,19934056
31,73018992
32,63803509
34,40884718
35,199678087
36,167914
37,246748467
38,20302961
41,279872580
42,2829413
44,10364727
46,67281856
48,12480292
49,0
50,69194088
51,609737
52,114700849
53,172810
54,510643490
55,0
56,17810140
57,57481597
58,48400140
59,25049220
61,192596858
62,76647042
63,326004306
64,5300000
65,10845304
66,40672323
70,0
71,209881271
72,55684062
73,119992342
74,79112371
75,0
77,34082944
78,41494905
82,41930908
83,52470317
84,3613426
85,81799
86,13614389
87,37831327
88,124964491
90,36665854
91,57998507
92,1414211
93,4874943
94,2073984
95,1614734
96,183642505
98,11350721
99,36326869
101,36498930
102,0
103,128847994
104,17562
105,2828806
108,277582744
110,8799813
111,37706283
113,17002189
114,5747564
115,137594992
116,8789999
117,71886
118,9667843
119,2474000
120,82631175
121,4454210
122,31788586
123,104534866
124,1260917
125,61935426
126,759624
127,6337775
128,1870674
129,56382262
130,36181757
131,0
132,98622449
133,233677490
134,25411069
136,35840960
137,52374631
138,13165986
140,777
141,5528072
143,20469168
144,0
145,765990
147,23106
148,231413620
149,39758015
150,80681575
151,122070855
153,65612417
154,53306523
155,18011427
156,25623595
157,37886821
158,70910281
159,149352
160,2692482
161,77480800
162,73152049
163,0
164,89479180
165,67499810
166,4404136
167,35461895
168,3300784
171,19889955
172,1082044
173,1067544
175,23025660
176,83628284
177,2728018
178,6587255
179,3782357
180,0
182,5247985
184,0
185,6187836
186,48936614
190,8479170
192,38763920
193,31597089
194,30765495
195,71840447
196,14762323
197,582594
198,89017449
199,1829142
200,107177709
201,26000024
202,0
203,100077951
205,22148451
206,83325443
210,2482581
212,7379895
213,35461044
214,2323679
216,0
217,13508730
218,24484250
219,68847
220,5854305
221,16904635
222,4362
225,10241
226,50648679
227,90960496
228,50686643
229,2325625
230,37766058
231,9766373
232,862625
233,31601023
234,262263
235,11712884
236,0
237,11681348
238,14630103
239,44825495
240,173464300
242,2291239
243,1606509
244,58875909
245,6855137
246,0
247,5006335
248,34469551
249,106013
253,5546554
254,0
255,0
256,4500537
257,38412887
258,62235128
259,24258842
260,0
261,312435
264,23738089
266,99586200
267,132561917
268,8633068
269,46048301
270,34945
271,31257
272,49567812
273,126312076
274,21497710
275,92370590
276,2448935
277,29734703
278,20647851
279,29872860
280,153927635
281,3837410
282,3080208
283,1569918
284,62494264
285,194498
286,0
287,107238605
288,12497837
289,16687022
290,136007
291,128090
292,5742181
293,85135210
294,46069088
295,36283504
296,26823569
297,4995689
298,122555868
299,61553
300,15557928
301,0
302,2759538
303,224317364
304,83939706
306,13169217
307,21290598
308,46122087
309,25017277
310,0
311,48413017
312,936039
313,70529500
314,9908485
315,98312992
316,2014553
317,16211110
318,96176651
319,276350
320,234994386
321,0
322,16730414
323,145681338
326,619598
327,8321
328,0
330,56854
331,2579539
332,43502913
333,33881233
334,17863270
335,45361285
336,3987748
337,17221371
338,1861019
339,37871122
340,174854877
341,67943811
342,846310
343,6629539
344,120263653
345,2961979
346,12821882
347,13419940
348,19247281
349,103341631
350,12397321
351,33518939
352,69146878
353,22983683
354,341300619
355,7659900
357,197587148
360,47034009
361,26136072
362,48018593
363,142075622
364,96856996
365,124469376
366,23332
367,6033254
368,0
369,4793070
370,72423154
371,12737762
372,13178025
373,15500000
374,273612833
375,1005936
376,209334239
377,25689391
378,10201628
379,183470162
380,30787447
381,13991612
382,53966250
383,2363
385,30306268
388,81577939
389,3082180
390,0
391,27549044
392,14534661
394,3868812
395,27643805
396,223970687
397,19519
398,32783043
399,170025988
400,13379482
401,18565160
402,56525377
403,0
404,0
405,99917852
408,119561734
409,284053
410,16585190
411,0
412,86973410
413,14163901
414,0
415,0
416,0
418,32727837
420,35886420
421,235372842
423,138928399
426,70102747
427,0
428,2400522
429,6174662
430,193004012
431,96219535
